,Frame Iteration List,Step List,Episode List,Done List,Reward List,X Error List,X Mean Error List,Y Error List,Z Error List,Sqrt Distance List
0,0,0,0,False,-0.04073875214475634,9.149350808002055e-05,9.149350808002055e-05,0.00025913119316101074,0.000574946403503418,0.03283278050415923
1,1,1,0,False,-0.10407312911688299,0.0009085065394174308,0.0005000000237487257,0.00025913119316101074,0.000574946403503418,0.09616715747628587
2,2,2,0,False,-0.20134395854699907,0.001908506586914882,0.0009695022114707778,0.00025913119316101074,0.000574946403503418,0.19343798690640196
3,3,3,0,False,-0.300460893847928,0.0029085065179970115,0.0014542532881023362,0.00025913119316101074,0.000574946403503418,0.29255492220733087
4,4,4,0,False,-0.40002652157487534,0.003908506681909785,0.0019451039668638259,0.00025913119316101074,0.000574946403503418,0.3921205499342782
5,5,5,0,False,-0.4997683809546912,0.0049085063801612705,0.0024390043690800667,0.00025913119316101074,0.000574946403503418,0.4918624093140941
6,6,6,0,False,-0.5995974255835153,0.005908506544074044,0.002934647536936349,0.00025913119316101074,0.000574946403503418,0.5916914539429181
7,7,7,0,False,-0.6994758742523396,0.006908506707986817,0.0034313799333176576,0.00025913119316101074,0.000574946403503418,0.6915699026117424
8,8,8,0,False,-0.7993850239750584,0.00790850687189959,0.003928838482048984,0.00025913119316101074,0.000574946403503418,0.7914790523344613
9,9,9,0,False,-0.8993144588072522,0.008908506104489788,0.004426805244293064,0.00025913119316101074,0.000574946403503418,0.8914084871666551
10,10,10,0,False,-0.9992582024673377,0.009908506268402562,0.004925141701030291,0.00025913119316101074,0.000574946403503418,0.9913522308267405
11,11,11,0,True,-1001.0992122561886,0.010908506432315335,0.005423755428637378,0.00025913119316101074,0.000574946403503418,1.0913062845480532
12,12,12,0,True,-1001.1991740247586,0.011908506596228108,0.005922582441528972,0.00025913119316101074,0.000574946403503418,1.1912680531179831
13,13,13,0,True,-1001.2991417164299,0.012908506760140881,0.006421577035715538,0.00025913119316101074,0.000574946403503418,1.2912357447892522
14,14,14,0,True,-1001.3991140543586,0.013908506924053654,0.0069207056949380785,0.00025913119316101074,0.000574946403503418,1.3912080827180062
15,15,15,0,True,-1001.499090010947,0.014908506156643853,0.007419943223794689,0.00025913119316101074,0.000574946403503418,1.491184039306451
16,16,16,0,True,-1001.599069165875,0.0159085072518792,0.007919270519564366,0.00025913119316101074,0.000574946403503418,1.5911631942344435
17,17,17,0,True,-1001.699050705587,0.016908507415791973,0.00841867256935479,0.00025913119316101074,0.000574946403503418,1.6911447339463137
18,18,18,0,True,-1001.799034122007,0.017908505717059597,0.008918137471865569,0.00025913119316101074,0.000574946403503418,1.7911281503664078
19,19,19,0,True,-1001.8990194603988,0.01890850588097237,0.009417655892320909,0.00025913119316101074,0.000574946403503418,1.891113488758169
